date,Date,Close,Volume,P/S Ratio
2016-01-04,1/4/2016,223.410004,6827100,7.239
2016-01-05,1/5/2016,223.429993,3186800,7.24
2016-01-06,1/6/2016,219.039993,3779100,7.097
2016-01-07,1/7/2016,215.649994,3554300,6.988
2016-01-08,1/8/2016,211,3628100,6.837
2016-01-11,1/11/2016,207.850006,4089700,6.735
2016-01-12,1/12/2016,209.970001,3091900,6.803
2016-01-13,1/13/2016,200.309998,4126400,6.49
2016-01-14,1/14/2016,206.179993,6490700,6.681
2016-01-15,1/15/2016,204.990005,5578600,6.642
2016-01-19,1/19/2016,204.720001,4038700,6.633
2016-01-20,1/20/2016,198.699997,5838600,6.438
2016-01-21,1/21/2016,199.970001,3166200,6.479
2016-01-22,1/22/2016,202.550003,3124100,6.563
2016-01-25,1/25/2016,196.380005,2698700,6.363
2016-01-26,1/26/2016,193.559998,4946800,6.272
2016-01-27,1/27/2016,188.070007,3617200,6.094
2016-01-28,1/28/2016,189.699997,4592800,6.147
2016-01-29,1/29/2016,191.199997,2852300,6.195
2016-02-01,2/1/2016,196.940002,5297600,6.381
2016-02-02,2/2/2016,182.779999,5773600,5.922
2016-02-03,2/3/2016,173.479996,7931400,5.621
2016-02-04,2/4/2016,175.330002,4363900,5.681
2016-02-05,2/5/2016,162.600006,9437600,5.269
2016-02-08,2/8/2016,147.990005,9313000,4.795
2016-02-09,2/9/2016,148.25,8575100,4.804
2016-02-10,2/10/2016,143.669998,10406500,4.655
2016-02-11,2/11/2016,150.470001,14252400,4.876
2016-02-12,2/12/2016,151.039993,7235800,4.894
2016-02-16,2/16/2016,155.169998,5593800,4.894
2016-02-17,2/17/2016,168.679993,5825200,5.028
2016-02-18,2/18/2016,166.770004,3887600,5.466
2016-02-19,2/19/2016,166.580002,2959400,5.404
2016-02-22,2/22/2016,177.740005,5060100,5.398
2016-02-23,2/23/2016,177.210007,5984400,5.759
2016-02-24,2/24/2016,179,5395600,5.742
2016-02-25,2/25/2016,187.429993,5720500,5.8
2016-02-26,2/26/2016,190.339996,6065100,6.073
2016-02-29,2/29/2016,191.929993,4499000,6.167
2016-03-01,3/1/2016,186.350006,6712200,6.219
2016-03-02,3/2/2016,188.339996,4862400,6.038
2016-03-03,3/3/2016,195.740005,4820500,6.103
2016-03-04,3/4/2016,201.039993,6489100,6.342
2016-03-07,3/7/2016,205.289993,5329400,6.514
2016-03-08,3/8/2016,202.600006,4178700,6.652
2016-03-09,3/9/2016,208.720001,3208600,6.565
2016-03-10,3/10/2016,205.179993,5183200,6.763
2016-03-11,3/11/2016,207.5,3343100,6.648
2016-03-14,3/14/2016,215.149994,4065700,6.723
2016-03-15,3/15/2016,218.339996,3180500,6.971
2016-03-16,3/16/2016,221.929993,3516700,7.075
2016-03-17,3/17/2016,226.380005,3782900,7.191
2016-03-18,3/18/2016,232.740005,4711800,7.335
2016-03-21,3/21/2016,238.320007,5307800,7.541
2016-03-22,3/22/2016,234.240005,4316000,7.722
2016-03-23,3/23/2016,222.580002,4948800,7.59
2016-03-24,3/24/2016,227.75,4960900,7.212
2016-03-28,3/28/2016,230.259995,3925700,7.38
2016-03-29,3/29/2016,230.130005,4004900,7.457
2016-03-30,3/30/2016,226.889999,4033000,7.352
2016-03-31,3/31/2016,229.770004,8012900,7.168
2016-04-01,4/1/2016,237.589996,15997500,7.411
2016-04-04,4/4/2016,246.990005,13475300,7.705
2016-04-05,4/5/2016,255.470001,9948700,7.969
2016-04-06,4/6/2016,265.420013,11679900,8.28
2016-04-07,4/7/2016,257.200012,8856200,8.023
2016-04-08,4/8/2016,250.070007,7363900,7.801
2016-04-11,4/11/2016,249.919998,9161700,7.796
2016-04-12,4/12/2016,247.820007,5750800,7.731
2016-04-13,4/13/2016,254.529999,4925600,7.94
2016-04-14,4/14/2016,251.860001,4120000,7.857
2016-04-15,4/15/2016,254.509995,3752400,7.939
2016-04-18,4/18/2016,253.880005,4261800,7.92
2016-04-19,4/19/2016,247.369995,6357500,7.717
2016-04-20,4/20/2016,249.970001,5194100,7.798
2016-04-21,4/21/2016,248.289993,2783100,7.745
2016-04-22,4/22/2016,253.75,3786300,7.916
2016-04-25,4/25/2016,251.820007,3670300,7.855
2016-04-26,4/26/2016,253.740005,3223800,7.915
2016-04-27,4/27/2016,251.470001,3205800,7.844
2016-04-28,4/28/2016,247.710007,2519000,7.727
2016-04-29,4/29/2016,240.759995,5413800,7.51
2016-05-02,5/2/2016,241.800003,3843900,7.543
2016-05-03,5/3/2016,232.320007,4302200,7.247
2016-05-04,5/4/2016,222.559998,8262500,6.943
2016-05-05,5/5/2016,211.529999,11254800,6.599
2016-05-06,5/6/2016,214.929993,5685200,6.705
2016-05-09,5/9/2016,208.919998,4776400,6.517
2016-05-10,5/10/2016,208.690002,4065200,6.518
2016-05-11,5/11/2016,208.960007,5161900,6.466
2016-05-12,5/12/2016,207.279999,3650500,6.476
2016-05-13,5/13/2016,207.610001,2822800,6.497
2016-05-16,5/16/2016,208.289993,2949400,6.384
2016-05-17,5/17/2016,204.660004,2843600,6.587
2016-05-18,5/18/2016,211.169998,5617500,6.713
2016-05-19,5/19/2016,215.210007,6866300,6.872
2016-05-20,5/20/2016,220.279999,9007100,6.745
2016-05-23,5/23/2016,216.220001,5093200,6.798
2016-05-24,5/24/2016,217.910004,3013800,6.85
2016-05-25,5/25/2016,219.580002,3126800,7.022
2016-05-26,5/26/2016,225.119995,4064000,6.958
2016-05-27,5/27/2016,223.039993,3650300,6.964
2016-05-31,5/31/2016,223.229996,2789000,6.849
2016-06-01,6/1/2016,219.559998,2982700,6.83
2016-06-02,6/2/2016,218.960007,2009400,6.831
2016-06-03,6/3/2016,218.990005,2229000,6.884
2016-06-06,6/6/2016,220.679993,2249500,7.248
2016-06-07,6/7/2016,232.339996,6213600,7.347
2016-06-08,6/8/2016,235.520004,5972000,7.155
2016-06-09,6/9/2016,229.360001,4492100,6.825
2016-06-10,6/10/2016,218.789993,6026600,6.796
2016-06-13,6/13/2016,217.869995,4193000,6.706
2016-06-14,6/14/2016,214.960007,3580200,6.791
2016-06-15,6/15/2016,217.699997,2908500,6.798
2016-06-16,6/16/2016,217.929993,2440300,6.721
2016-06-17,6/17/2016,215.470001,3112600,6.853
2016-06-20,6/20/2016,219.699997,3555500,6.851
2016-06-21,6/21/2016,219.610001,4529000,6.135
2016-06-22,6/22/2016,196.660004,23742400,6.127
2016-06-23,6/23/2016,196.399994,10130700,6.025
2016-06-24,6/24/2016,193.149994,7026500,6.194
2016-06-27,6/27/2016,198.550003,7205400,6.295
2016-06-28,6/28/2016,201.789993,6212400,6.557
2016-06-29,6/29/2016,210.190002,5994900,6.505
2016-06-30,6/30/2016,212.279999,4843100,6.634
2016-07-01,7/1/2016,216.5,5400000,6.557
2016-07-05,7/5/2016,213.979996,5175300,6.571
2016-07-06,7/6/2016,214.440002,4919900,6.617
2016-07-07,7/7/2016,215.940002,3599700,6.643
2016-07-08,7/8/2016,216.779999,4074800,6.888
2016-07-11,7/11/2016,224.779999,5429800,6.884
2016-07-12,7/12/2016,224.649994,4571300,6.819
2016-07-13,7/13/2016,222.529999,3567100,6.788
2016-07-14,7/14/2016,221.529999,2675800,6.754
2016-07-15,7/15/2016,220.399994,2234200,6.933
2016-07-18,7/18/2016,226.25,3412100,6.903
2016-07-19,7/19/2016,225.259995,3115100,6.998
2016-07-20,7/20/2016,228.360001,2568500,6.757
2016-07-21,7/21/2016,220.5,4428700,6.811
2016-07-22,7/22/2016,222.270004,2579700,7.048
2016-07-25,7/25/2016,230.009995,4490700,7.033
2016-07-26,7/26/2016,229.509995,3430000,7.002
2016-07-27,7/27/2016,228.490005,2885200,7.067
2016-07-28,7/28/2016,230.610001,2419100,7.195
2016-07-29,7/29/2016,234.789993,3070800,7.048
2016-08-01,8/1/2016,230.009995,4016300,6.962
2016-08-02,8/2/2016,227.199997,3934400,6.919
2016-08-03,8/3/2016,225.789993,3887800,7.067
2016-08-04,8/4/2016,230.610001,4122800,7.049
2016-08-05,8/5/2016,230.029999,3205200,6.915
2016-08-08,8/8/2016,226.160004,2263600,6.892
2016-08-09,8/9/2016,229.080002,2207800,6.913
2016-08-10,8/10/2016,225.649994,2338300,6.913
2016-08-11,8/11/2016,224.910004,1875800,6.852
2016-08-12,8/12/2016,225.610001,1813500,6.841
2016-08-15,8/15/2016,225.589996,2034300,6.849
2016-08-16,8/16/2016,223.610001,2267100,6.895
2016-08-17,8/17/2016,223.240005,1787100,6.831
2016-08-18,8/18/2016,223.509995,1714500,6.89
2016-08-19,8/19/2016,225,1659500,6.822
2016-08-22,8/22/2016,222.929993,2065500,6.771
2016-08-23,8/23/2016,224.839996,4784400,6.741
2016-08-24,8/24/2016,222.619995,2570700,6.594
2016-08-25,8/25/2016,220.960007,1762500,6.476
2016-08-26,8/26/2016,219.990005,2239000,6.497
2016-08-29,8/29/2016,215.199997,3257100,6.152
2016-08-30,8/30/2016,211.339996,3168900,6.061
2016-08-31,8/31/2016,212.009995,3276500,6.061
2016-09-01,9/1/2016,200.770004,7943100,6.215
2016-09-02,9/2/2016,197.779999,5977400,6.181
2016-09-06,9/6/2016,202.830002,4390600,6.048
2016-09-07,9/7/2016,201.710007,3640900,5.959
2016-09-08,9/8/2016,197.360001,3370000,6.076
2016-09-09,9/9/2016,194.470001,3757000,6.008
2016-09-12,9/12/2016,198.300003,3715200,6.019
2016-09-13,9/13/2016,196.050003,3589400,6.141
2016-09-14,9/14/2016,196.410004,2254500,6.294
2016-09-15,9/15/2016,200.419998,3077200,6.323
2016-09-16,9/16/2016,205.399994,3107800,6.271
2016-09-19,9/19/2016,206.339996,2297000,6.288
2016-09-20,9/20/2016,204.639999,2410500,6.326
2016-09-21,9/21/2016,205.220001,2633500,6.357
2016-09-22,9/22/2016,206.429993,2382900,6.404
2016-09-23,9/23/2016,207.449997,2905200,6.307
2016-09-26,9/26/2016,208.990005,2394400,6.321
2016-09-27,9/27/2016,205.809998,3373200,6.15
2016-09-28,9/28/2016,206.270004,2088400,5.4
2016-09-29,9/29/2016,200.699997,2727000,5.656
2016-09-30,9/30/2016,204.029999,2586300,5.595
2016-10-03,10/3/2016,213.699997,5999900,5.517
2016-10-04,10/4/2016,211.410004,3541500,5.319
2016-10-05,10/5/2016,208.460007,1877500,5.203
2016-10-06,10/6/2016,201,4703400,5.318
2016-10-07,10/7/2016,196.610001,3493000,5.296
2016-10-10,10/10/2016,200.949997,3303100,5.333
2016-10-11,10/11/2016,200.100006,2328400,5.299
2016-10-12,10/12/2016,201.509995,1970700,5.201
2016-10-13,10/13/2016,200.240005,2494600,5.133
2016-10-14,10/14/2016,196.509995,4269900,5.269
2016-10-17,10/17/2016,193.960007,4554100,5.387
2016-10-18,10/18/2016,199.100006,5669000,5.269
2016-10-19,10/19/2016,203.559998,6991200,5.295
2016-10-20,10/20/2016,199.100006,5072900,5.366
2016-10-21,10/21/2016,200.089996,2943400,5.355
2016-10-24,10/24/2016,202.759995,2751600,5.352
2016-10-25,10/25/2016,202.339996,2445000,5.399
2016-10-26,10/26/2016,202.240005,5632800,5.292
2016-10-27,10/27/2016,204.009995,13093700,5.233
